x	
42.89 	20.56 
23.66 	8.64 
16.25 	6.10 
17.88 	7.82 
22.17 	7.99 
22.74 	7.70 
31.06 	17.29 
17.43 	10.69 
5.92 	2.42 
19.55 	8.45 
40.40 	21.36 
36.52 	16.32 
27.29 	8.60 
35.84 	16.75 
36.42 	11.51 
42.76 	21.56 
